# CombMIN
# Rank ItemID Score
1 1815 0.396048
2 142 0.351262
3 1430 0.344079
4 3085 0.318993
5 2811 0.318310
6 545 0.316545
7 1843 0.315629
8 2213 0.312583
9 826 0.303364
10 3382 0.298779
11 3315 0.298279
12 3381 0.294183
13 2438 0.281994
14 3321 0.278774
15 2484 0.277934
16 1709 0.269707
17 814 0.264241
18 576 0.258126
19 2845 0.240876
20 3164 0.238487
21 286 0.211886
22 3151 0.207690
23 2217 0.206682
24 2905 0.000000
25 318 0.000000
26 1198 0.000000
27 3470 0.000000
28 3365 0.000000
29 3338 0.000000
30 1262 0.000000
31 589 0.000000
32 1035 0.000000
33 1240 0.000000
34 457 0.000000
35 590 0.000000
36 3421 0.000000
37 1226 0.000000
38 3038 0.000000
39 953 0.000000
40 3510 0.000000
41 858 0.000000
42 670 0.000000
43 2937 0.000000
44 2501 0.000000
45 597 0.000000
46 1250 0.000000
47 356 0.000000
48 593 0.000000
49 1307 0.000000
50 3671 0.000000
51 3471 0.000000
52 905 0.000000
53 1242 0.000000
54 1036 0.000000
55 2804 0.000000
56 1204 0.000000
57 1272 0.000000
58 904 0.000000
59 53 0.000000
60 50 0.000000
61 2329 0.000000
62 1291 0.000000
63 3469 0.000000
64 2493 0.000000
65 1203 0.000000
66 1234 0.000000
67 916 0.000000
68 364 0.000000
69 326 0.000000
70 121 0.000000
71 2398 0.000000
72 1253 0.000000
73 3222 0.000000
74 1283 0.000000
75 1278 0.000000
76 1935 0.000000
77 480 0.000000
78 2571 0.000000
79 913 0.000000
80 911 0.000000
81 1304 0.000000
82 3578 0.000000
83 1302 0.000000
84 110 0.000000
85 1101 0.000000
86 908 0.000000
87 1259 0.000000
88 1225 0.000000
89 1231 0.000000
90 3178 0.000000
91 930 0.000000
92 3739 0.000000
93 3147 0.000000
94 1947 0.000000
95 3916 0.000000
96 912 0.000000
97 668 0.000000
98 3035 0.000000
99 1196 0.000000
100 602 0.000000

# CombMAX
# Rank ItemID Score
1 2905 1.000000
2 318 1.000000
3 1198 1.000000
4 3470 1.000000
5 3365 1.000000
6 3338 1.000000
7 1262 1.000000
8 589 1.000000
9 1035 1.000000
10 1240 1.000000
11 457 1.000000
12 590 1.000000
13 3421 1.000000
14 1226 1.000000
15 3038 1.000000
16 953 1.000000
17 3510 1.000000
18 858 1.000000
19 670 1.000000
20 2937 1.000000
21 2501 1.000000
22 597 1.000000
23 1250 1.000000
24 356 1.000000
25 593 1.000000
26 1307 1.000000
27 3671 1.000000
28 905 1.000000
29 1242 1.000000
30 1036 1.000000
31 2804 1.000000
32 1204 1.000000
33 904 1.000000
34 53 1.000000
35 50 1.000000
36 2329 1.000000
37 1291 1.000000
38 3469 1.000000
39 1203 1.000000
40 1234 1.000000
41 916 1.000000
42 364 1.000000
43 326 1.000000
44 2398 1.000000
45 1253 1.000000
46 3222 1.000000
47 1283 1.000000
48 1278 1.000000
49 1935 1.000000
50 2571 1.000000
51 913 1.000000
52 911 1.000000
53 1304 1.000000
54 3578 1.000000
55 1302 1.000000
56 110 1.000000
57 1101 1.000000
58 908 1.000000
59 1225 1.000000
60 930 1.000000
61 3739 1.000000
62 3147 1.000000
63 1947 1.000000
64 3916 1.000000
65 912 1.000000
66 668 1.000000
67 3035 1.000000
68 1196 1.000000
69 2927 1.000000
70 1148 1.000000
71 1193 1.000000
72 2019 1.000000
73 2000 1.000000
74 910 1.000000
75 2396 1.000000
76 1213 1.000000
77 1223 1.000000
78 1117 1.000000
79 2624 1.000000
80 1233 1.000000
81 2186 1.000000
82 1284 1.000000
83 1294 1.000000
84 3435 1.000000
85 969 1.000000
86 1099 1.000000
87 1066 1.000000
88 750 1.000000
89 1246 1.000000
90 1293 1.000000
91 2324 1.000000
92 3508 1.000000
93 1387 1.000000
94 1090 1.000000
95 1131 1.000000
96 1221 1.000000
97 1172 1.000000
98 1797 1.000000
99 2203 1.000000
100 1704 1.000000

# CombSUM
# Rank ItemID Score
1 2905 5951.109231
2 3338 5948.220317
3 668 5887.039842
4 3470 5826.778321
5 2503 5813.079432
6 3038 5811.321642
7 2937 5803.413846
8 2493 5797.921865
9 53 5795.134928
10 670 5785.772239
11 326 5784.799730
12 214 5772.118032
13 649 5760.568267
14 1423 5756.497976
15 3679 5750.067524
16 2609 5730.875720
17 3245 5722.799116
18 759 5721.210839
19 3222 5719.102874
20 602 5716.229691
21 1900 5704.444871
22 3849 5694.636697
23 1076 5690.227709
24 556 5690.169714
25 1546 5680.543719
26 669 5667.663480
27 2839 5667.005496
28 3739 5661.319929
29 1935 5660.822981
30 3192 5657.781551
31 1236 5648.565508
32 3091 5646.898275
33 2357 5644.255782
34 3030 5636.452076
35 128 5626.904759
36 2624 5622.712394
37 2203 5621.669036
38 121 5621.041581
39 3140 5619.194307
40 3224 5612.312159
41 2925 5611.712521
