# Method: BordaCount
# Rank ItemID Score
1 2905 21146981.000000
2 668 20980313.000000
3 3338 20919789.000000
4 3470 20577506.000000
5 1236 20507166.000000
6 649 20448665.000000
7 670 20441858.000000
8 3030 20437563.000000
9 3091 20391427.000000
10 2503 20332738.000000
11 3849 20328983.000000
12 2925 20312510.000000
13 1111 20274194.000000
14 3022 20229630.000000
15 1178 20213882.000000
16 2351 20144633.000000
17 2357 20141966.000000
18 326 20140913.000000
19 3801 20135104.000000
20 669 20121763.000000
21 1423 20118077.000000
22 3222 20089679.000000
23 2937 20080367.000000
24 3077 20074503.000000
25 759 20073330.000000
26 2330 20062511.000000
27 2360 20055368.000000
28 3038 20003322.000000
29 2203 20002742.000000
30 1900 19997437.000000
31 3075 19981903.000000
32 1949 19979253.000000
33 3469 19963851.000000
34 556 19960394.000000
35 3307 19950708.000000
36 456 19940942.000000
37 3089 19929803.000000
38 2920 19921849.000000
39 1147 19918645.000000
40 2731 19907494.000000
41 3090 19896863.000000
42 2066 19848467.000000
43 1131 19828331.000000
44 906 19771142.000000
45 2848 19757177.000000
46 1132 19754212.000000
47 3634 19722211.000000
48 2609 19713226.000000
49 720 19708676.000000
50 905 19701875.000000
51 922 19688832.000000
52 116 19688255.000000
53 936 19667822.000000
54 3429 19650252.000000
55 214 19649425.000000
56 2208 19609928.000000
57 3679 19602717.000000
58 3134 19596983.000000
59 911 19570277.000000
60 1935 19565718.000000
61 3789 19558484.000000
62 678 19556972.000000
63 1260 19522553.000000
64 950 19517993.000000
65 2494 19506292.000000
66 1797 19481079.000000
67 928 19473599.000000
68 2206 19466006.000000
69 2612 19454857.000000
70 3281 19454483.000000
71 2624 19452765.000000
72 3306 19421461.000000
73 1226 19412868.000000
74 602 19404149.000000
75 1934 19401891.000000
76 28 19400177.000000
77 2019 19394807.000000
78 3435 19379652.000000
79 942 19376623.000000
80 916 19375623.000000
81 1254 19367599.000000
82 3365 19362344.000000
83 930 19358508.000000
84 3951 19350605.000000
85 2197 19349354.000000
86 3224 19334330.000000
87 1361 19332479.000000
88 1224 19327115.000000
89 1223 19322302.000000
90 945 19314571.000000
91 2927 19311395.000000
92 1212 19309194.000000
93 1218 19303274.000000
94 2186 19302994.000000
95 1927 19297571.000000
96 3787 19295718.000000
97 3379 19295519.000000
98 1217 19294239.000000
99 2493 19292271.000000
100 3347 19291782.000000
101 2940 19279445.000000
102 581 19276141.000000
103 3196 19246992.000000
104 2935 19246652.000000
105 1942 19238297.000000
106 1939 19232176.000000
107 745 19221582.000000
108 363 19208616.000000
109 2726 19196051.000000
110 954 19195561.000000
111 1827 19189913.000000
112 2936 19186299.000000
113 1066 19172746.000000
114 2859 19139621.000000
115 3737 19129227.000000
116 1283 19127058.000000
117 1950 19106633.000000
118 1284 19099409.000000
119 898 19098599.000000
120 927 19090055.000000
121 53 19089689.000000
122 965 19080173.000000
