# Method: CG
# Rank ItemID Score
1 2905 21152975.000000
2 668 20986318.000000
3 3338 20925807.000000
4 3470 20583470.000000
5 1236 20513133.000000
6 649 20454690.000000
7 670 20447857.000000
8 3030 20443427.000000
9 3091 20397350.000000
10 2503 20338770.000000
11 3849 20334992.000000
12 2925 20318503.000000
13 1111 20280163.000000
14 3022 20235503.000000
15 1178 20219742.000000
16 2351 20150592.000000
17 2357 20147836.000000
18 326 20146903.000000
19 3801 20140990.000000
20 669 20127782.000000
21 1423 20124105.000000
22 3222 20095693.000000
23 2937 20086324.000000
24 3077 20080476.000000
25 759 20079321.000000
26 2330 20068475.000000
27 2360 20061311.000000
28 3038 20009304.000000
29 2203 20008599.000000
30 1900 20003428.000000
31 3075 19987886.000000
32 1949 19985140.000000
33 3469 19969674.000000
34 556 19966328.000000
35 3307 19956530.000000
36 456 19946905.000000
37 3089 19935639.000000
38 2920 19927807.000000
39 1147 19924473.000000
40 2731 19913385.000000
41 3090 19902758.000000
42 2066 19854419.000000
43 1131 19834195.000000
44 906 19777037.000000
45 2848 19763189.000000
46 1132 19760084.000000
47 3634 19728122.000000
48 2609 19719216.000000
49 720 19714368.000000
50 905 19707612.000000
51 922 19694492.000000
52 116 19694266.000000
53 936 19673757.000000
54 3429 19656068.000000
55 214 19655442.000000
56 2208 19615808.000000
57 3679 19608707.000000
58 3134 19602886.000000
59 911 19576072.000000
60 1935 19571676.000000
61 3789 19564390.000000
62 678 19562772.000000
63 1260 19528353.000000
64 950 19523805.000000
65 2494 19512311.000000
66 1797 19486994.000000
67 928 19479334.000000
68 2206 19471919.000000
69 2612 19460780.000000
70 3281 19460483.000000
71 2624 19458717.000000
72 3306 19427480.000000
73 1226 19418737.000000
74 602 19410155.000000
75 1934 19407873.000000
76 28 19406072.000000
77 2019 19400329.000000
78 3435 19385261.000000
79 942 19382432.000000
80 916 19381328.000000
81 1254 19373280.000000
82 3365 19368195.000000
83 930 19364187.000000
84 3951 19356614.000000
85 2197 19355385.000000
86 3224 19340304.000000
87 1361 19338395.000000
88 1224 19332793.000000
89 1223 19327964.000000
90 945 19320403.000000
91 2927 19317355.000000
92 1212 19314844.000000
93 1218 19309117.000000
94 2186 19308642.000000
95 1927 19303388.000000
96 3787 19301716.000000
97 3379 19301479.000000
98 1217 19299984.000000
99 2493 19298290.000000
100 3347 19297645.000000
101 2940 19285399.000000
102 581 19282073.000000
103 3196 19252708.000000
104 2935 19252573.000000
105 1942 19244249.000000
106 1939 19238025.000000
107 745 19227087.000000
108 363 19214606.000000
109 2726 19201990.000000
110 954 19201290.000000
111 1827 19195871.000000
112 2936 19192217.000000
113 1066 19178646.000000
114 2859 19145461.000000
115 3737 19135231.000000
116 1283 19132761.000000
117 1950 19112408.000000
118 1284 19105023.000000
119 898 19104183.000000
120 927 19096031.000000
121 53 19095724.000000
122 965 19086013.000000
123 123 19064147.000000
124 3096 19056124.000000
125 3035 19043131.000000
126 1262 19029484.000000
127 3456 19025492.000000
128 1176 18996911.000000
129 926 18994788.000000
130 3265 18984844.000000
131 1303 18974486.000000
132 951 18964417.000000
133 1537 18961286.000000
134 1189 18957520.000000
135 632 18956017.000000
136 1788 18938908.000000
137 2323 18931848.000000
138 947 18930035.000000
139 955 18925452.000000
140 1272 18901467.000000
141 2843 18897715.000000
142 599 18897638.000000
143 3475 18897269.000000
144 1203 18889906.000000
145 1362 18886904.000000
146 1172 18869941.000000
147 3468 18862622.000000
148 3198 18858013.000000
149 2983 18853711.000000
150 3245 18843060.000000
151 1419 18839358.000000
152 933 18835650.000000
153 3092 18825728.000000
154 3088 18818962.000000
155 1289 18812561.000000
156 2329 18808061.000000
157 3462 18797141.000000
158 971 18789916.000000
159 2071 18786088.000000
160 2839 18781294.000000
161 2607 18779687.000000
162 2788 18779458.000000
163 1300 18759367.000000
164 1936 18759294.000000
165 746 18755188.000000
166 3819 18738662.000000
167 1879 18718283.000000
168 1269 18713199.000000
169 3814 18690660.000000
170 1180 18685926.000000
171 2488 18684465.000000
172 907 18680295.000000
173 1148 18673217.000000
174 3467 18666867.000000
175 1844 18663838.000000
176 973 18660684.000000
177 2810 18646906.000000
178 953 18639844.000000
179 1086 18639719.000000
180 446 18635609.000000
181 3341 18626789.000000
182 3811 18621125.000000
183 232 18601681.000000
184 1299 18598345.000000
185 2819 18593874.000000
186 2594 18589909.000000
187 1449 18578162.000000
188 3002 18570732.000000
189 1945 18561466.000000
190 1545 18553404.000000
191 1046 18543934.000000
192 943 18542492.000000
193 3949 18534004.000000
194 1938 18529556.000000
195 3677 18517777.000000
196 3739 18514157.000000
197 1161 18513276.000000
198 306 18506896.000000
199 2682 18506194.000000
200 3416 18504006.000000
201 2670 18492145.000000
202 1280 18491759.000000
203 909 18487024.000000
204 899 18481751.000000
205 1940 18476856.000000
206 1099 18476722.000000
207 2847 18470168.000000
208 1104 18462487.000000
209 1253 18458311.000000
210 978 18442189.000000
211 2183 18436802.000000
212 3746 18436217.000000
213 1759 18428048.000000
214 1250 18424112.000000
215 910 18420975.000000
216 3728 18414605.000000
217 1207 18412066.000000
218 3135 18406616.000000
219 2677 18405370.000000
220 1204 18395987.000000
221 213 18395853.000000
222 932 18390340.000000
223 3350 18376565.000000
224 1177 18374850.000000
225 3929 18365944.000000
226 1925 18361254.000000
227 1931 18340342.000000
228 1944 18336861.000000
229 1023 18334044.000000
230 1365 18329774.000000
231 1264 18319934.000000
232 2610 18296984.000000
233 3507 18295293.000000
234 121 18275896.000000
235 2501 18273725.000000
236 1293 18271195.000000
237 298 18261040.000000
238 904 18257220.000000
239 1209 18240624.000000
240 2732 18233225.000000
241 128 18227306.000000
242 3606 18222807.000000
243 3870 18216467.000000
244 1238 18213269.000000
245 1963 18212054.000000
246 307 18202246.000000
247 2745 18201265.000000
248 1301 18197745.000000
