# Method: CombANZ
# Rank ItemID Score
1 2905 0.995637
2 318 0.991110
3 2019 0.988162
4 668 0.986113
5 904 0.984414
6 1148 0.984262
7 50 0.983759
8 745 0.982882
9 3030 0.982669
10 527 0.982088
11 3338 0.981160
12 922 0.979085
13 1250 0.976738
14 1262 0.975725
15 720 0.975089
16 1207 0.974060
17 3470 0.973471
18 3435 0.972598
19 1178 0.972384
20 3091 0.971001
21 3022 0.970931
22 1193 0.969495
23 1236 0.969462
24 913 0.968471
25 2762 0.967833
26 2357 0.967691
27 905 0.967231
28 858 0.966440
29 908 0.966240
30 3469 0.965876
31 3307 0.965825
32 1234 0.965534
33 912 0.964640
34 3801 0.964574
35 1147 0.963407
36 910 0.963044
37 2324 0.963011
38 898 0.962774
39 1204 0.962662
40 2203 0.962580
41 593 0.962497
42 3089 0.962389
43 1272 0.962086
44 1212 0.961859
45 2186 0.961792
46 670 0.961752
47 1223 0.960972
48 1254 0.959668
49 930 0.959368
50 903 0.958850
51 1224 0.958183
52 1284 0.958050
53 1111 0.958042
54 649 0.958019
55 953 0.957759
56 1203 0.957411
57 260 0.957069
58 1949 0.956677
59 750 0.956603
60 2925 0.956427
61 916 0.956135
62 928 0.956065
63 1278 0.955980
64 2329 0.955933
65 1299 0.955615
66 1198 0.955007
67 3849 0.954710
68 1197 0.954677
69 1269 0.954462
70 899 0.954234
71 1172 0.953859
72 2351 0.953494
73 1131 0.953029
74 919 0.952981
75 2731 0.952807
76 3429 0.952271
77 2360 0.951773
78 2503 0.951522
79 911 0.951303
80 2937 0.951097
81 3090 0.951023
82 678 0.950223
83 2330 0.949062
84 556 0.948917
85 326 0.948638
86 3077 0.948434
87 3196 0.948403
88 1132 0.948302
89 2804 0.948072
90 1260 0.947872
91 1225 0.946904
92 1358 0.946596
93 950 0.946214
94 759 0.945688
95 1217 0.945475
96 906 0.945355
97 1233 0.944878
98 2028 0.944740
99 1283 0.943853
100 3038 0.943583
101 669 0.943502
102 2920 0.943313
103 456 0.943158
104 954 0.942779
105 3222 0.942671
106 3075 0.942121
107 1423 0.942051
108 1900 0.941854
109 1242 0.941841
110 3634 0.941143
111 2066 0.940724
112 2208 0.940423
113 942 0.940063
114 3035 0.939918
115 3897 0.939503
116 1221 0.939078
117 1136 0.937874
118 923 0.937701
119 969 0.937479
120 926 0.937247
121 3468 0.936413
122 3134 0.935787
123 1276 0.935629
124 2571 0.935363
125 1927 0.934566
126 936 0.934561
127 1304 0.934031
128 3789 0.933999
129 1267 0.933722
130 951 0.933677
131 1704 0.933254
132 945 0.933172
133 955 0.932318
134 3365 0.932218
135 1226 0.932153
136 1950 0.931677
137 1293 0.931599
138 933 0.931274
139 1252 0.931224
140 1218 0.930744
141 2788 0.930588
142 541 0.928962
143 1797 0.928571
144 2609 0.928414
145 1253 0.928048
146 2206 0.927925
147 28 0.927914
148 2848 0.927298
149 1945 0.927075
150 3347 0.927007
151 1939 0.926633
152 1537 0.926512
153 3114 0.926350
154 1935 0.926166
155 2612 0.926074
156 1303 0.924543
157 116 0.924418
158 3265 0.924205
159 2859 0.923588
160 3679 0.923349
161 246 0.922511
162 2624 0.921876
163 214 0.921654
164 2501 0.921463
165 1361 0.921444
166 965 0.920458
167 1449 0.920177
168 1208 0.920111
169 1231 0.919387
170 1247 0.919325
171 3088 0.919061
172 2918 0.918748
173 1259 0.917727
174 3198 0.916854
175 2935 0.916555
176 581 0.916469
177 1066 0.916237
178 1104 0.916140
179 1189 0.915238
180 1300 0.915106
181 3281 0.914986
182 1934 0.914946
183 1086 0.914943
184 457 0.914794
185 2494 0.914582
186 2927 0.914191
187 2936 0.914107
188 3462 0.913825
189 1196 0.913736
190 599 0.913685
191 2940 0.913564
192 3224 0.913107
193 3379 0.912887
194 3811 0.912075
195 1942 0.911738
196 602 0.911606
197 2726 0.911490
198 3306 0.910731
199 2858 0.909691
200 909 0.909100
201 1235 0.909015
202 232 0.908965
203 3951 0.908830
204 1827 0.908268
205 3359 0.908029
206 3787 0.907704
207 971 0.907609
208 1219 0.907440
209 2067 0.906457
210 3578 0.906085
211 2692 0.905866
212 2197 0.905338
213 3095 0.905090
214 914 0.904828
215 363 0.904770
216 2493 0.904686
217 58 0.904567
218 3819 0.904502
219 947 0.904485
220 3467 0.903912
221 123 0.902996
222 306 0.902674
223 2819 0.902423
224 1176 0.902314
225 3096 0.901428
226 927 0.901243
227 446 0.901056
228 1289 0.899911
229 1674 0.899829
230 3949 0.899625
231 3507 0.899617
232 2300 0.899484
233 1213 0.899456
234 3737 0.899008
235 296 0.898374
236 1201 0.898163
237 3814 0.897922
238 994 0.897857
239 3334 0.897698
240 3475 0.897170
241 1 0.896937
242 1944 0.896871
243 3683 0.896820
244 608 0.896621
245 47 0.896563
246 2071 0.896377
247 3456 0.896299
248 1419 0.896291
249 1287 0.895147
250 1788 0.895102
251 1280 0.895064
252 1248 0.894461
253 1263 0.894383
254 1307 0.894162
255 2248 0.893775
256 1362 0.893216
257 53 0.893005
258 1256 0.892856
259 110 0.892409
260 2966 0.892052
261 1301 0.891931
262 1953 0.891878
263 1238 0.890716
264 3341 0.890469
265 2917 0.890283
266 3730 0.890229
267 2983 0.890025
268 1240 0.889022
269 1617 0.888899
270 3147 0.888822
271 2323 0.888225
272 1294 0.888135
273 2670 0.887401
274 1610 0.887305
275 943 0.886858
276 632 0.886848
277 2677 0.886569
278 1258 0.886278
279 529 0.885611
280 2843 0.885468
281 3000 0.885356
282 1936 0.885185
283 2607 0.884858
284 1246 0.884708
285 1099 0.884636
286 3508 0.884353
287 907 0.884097
288 1264 0.883833
289 1931 0.882809
290 2488 0.882722
291 3363 0.882351
292 2396 0.881919
293 3092 0.881832
294 1023 0.881697
295 2313 0.881347
296 3245 0.881092
297 1222 0.880911
298 1961 0.880710
299 932 0.880657
300 973 0.880461
301 1938 0.879945
302 3135 0.879864
303 746 0.879831
304 3498 0.879780
305 2183 0.879716
306 293 0.879688
307 1237 0.879448
308 3062 0.879340
309 1963 0.879139
310 3083 0.879056
311 3629 0.878831
312 1180 0.878650
313 2839 0.878479
314 3671 0.878175
315 1879 0.877424
316 3037 0.876934
317 3783 0.876849
318 3006 0.876450
319 1046 0.876234
320 1036 0.876053
321 307 0.875603
322 3728 0.875543
323 1161 0.875466
324 2810 0.875458
325 1844 0.875351
326 2594 0.875169
327 1545 0.875112
328 2745 0.875086
329 3350 0.874964
330 3929 0.874661
331 1177 0.874248
332 2682 0.874087
333 1940 0.873202
334 1266 0.873053
335 1090 0.872676
336 978 0.872325
337 213 0.871987
338 3002 0.871928
339 3606 0.871184
340 1211 0.870708
341 1288 0.870609
342 3416 0.870516
343 1209 0.870407
344 3677 0.870334
345 3421 0.870284
346 1084 0.870258
347 308 0.869978
348 3739 0.869798
349 1947 0.868800
350 2732 0.868641
351 1411 0.868543
352 2951 0.868367
353 3746 0.868335
354 2728 0.867635
355 497 0.867469
356 1759 0.867040
357 150 0.867000
358 3007 0.866328
359 2847 0.866322
360 3911 0.865922
361 589 0.865117
362 931 0.865074
363 3451 0.864202
364 428 0.863920
365 1228 0.863917
366 940 0.863374
367 1257 0.863242
368 1925 0.862824
369 1069 0.862792
370 1200 0.862301
371 1365 0.862203
372 2467 0.862128
373 949 0.861994
374 3735 0.861301
375 1041 0.860316
376 3182 0.860115
377 2398 0.859683
378 2610 0.858757
379 121 0.858452
380 1784 0.858167
381 2202 0.857775
382 2924 0.857636
383 3148 0.857086
384 1291 0.856333
385 2336 0.855909
386 3870 0.855838
387 298 0.855725
388 3079 0.855592
389 3655 0.855171
390 3668 0.854472
391 1960 0.854280
392 2761 0.853777
393 1079 0.853221
394 1162 0.853049
395 1292 0.852973
396 1929 0.852952
397 1080 0.852812
398 128 0.852730
399 1571 0.852123
400 111 0.852065
401 3532 0.852043
402 475 0.851831
403 1192 0.851189
404 915 0.851012
405 2944 0.851012
406 1214 0.850616
407 3415 0.850490
408 149 0.849950
409 2970 0.849888
410 628 0.849738
411 1946 0.849313
412 800 0.849138
413 714 0.848964
414 3097 0.848802
415 615 0.848547
416 1834 0.848174
417 3505 0.847949
418 2511 0.847759
419 3410 0.847605
420 3808 0.847436
421 1446 0.847370
422 924 0.847281
423 3851 0.847252
424 1533 0.846350
