# Method: CombMAX
# Rank ItemID Score
1 1206 1.000000
2 260 1.000000
3 50 1.000000
4 3089 1.000000
5 318 1.000000
6 1230 1.000000
7 2186 1.000000
8 908 1.000000
9 1237 1.000000
10 1193 1.000000
11 29 1.000000
12 668 1.000000
13 2019 1.000000
14 1148 1.000000
15 3429 1.000000
16 745 1.000000
17 1307 1.000000
18 1223 1.000000
19 1131 1.000000
20 2905 1.000000
21 1212 1.000000
22 3307 1.000000
23 953 1.000000
24 2918 1.000000
25 3730 1.000000
26 1147 1.000000
27 3022 1.000000
28 1198 1.000000
29 2203 1.000000
30 1208 1.000000
31 1288 1.000000
32 924 1.000000
33 3030 1.000000
34 3134 1.000000
35 905 1.000000
36 910 1.000000
37 2351 1.000000
38 670 1.000000
39 1262 1.000000
40 2208 1.000000
41 904 1.000000
42 1284 1.000000
43 1256 1.000000
44 2804 1.000000
45 922 1.000000
46 3435 1.000000
47 899 1.000000
48 2329 1.000000
49 2360 1.000000
50 1225 1.000000
51 898 1.000000
52 1394 1.000000
53 951 1.000000
54 1292 1.000000
55 307 1.000000
56 1104 1.000000
57 1267 1.000000
58 1947 1.000000
59 1242 1.000000
60 1235 1.000000
61 2022 1.000000
62 720 1.000000
63 1272 1.000000
64 1303 1.000000
65 3424 1.000000
66 1222 1.000000
67 1260 1.000000
68 3629 1.000000
69 926 1.000000
70 246 1.000000
71 306 1.000000
72 1066 1.000000
73 2248 1.000000
74 1220 1.000000
75 916 1.000000
76 3897 1.000000
77 2066 1.000000
78 551 1.000000
79 1090 1.000000
80 1233 1.000000
81 1949 1.000000
82 1203 1.000000
83 1172 1.000000
84 1111 1.000000
85 800 1.000000
86 3462 1.000000
87 6 1.000000
88 1283 1.000000
89 1178 1.000000
90 954 1.000000
91 1269 1.000000
92 2959 1.000000
93 969 1.000000
94 1927 1.000000
95 1358 1.000000
96 1213 1.000000
97 2324 1.000000
98 2609 1.000000
99 2010 1.000000
100 1214 1.000000
101 1248 1.000000
102 1300 1.000000
103 3338 1.000000
104 2357 1.000000
105 593 1.000000
106 1610 1.000000
107 47 1.000000
108 1234 1.000000
109 3849 1.000000
110 1236 1.000000
111 1189 1.000000
112 1784 1.000000
113 1278 1.000000
114 1246 1.000000
115 914 1.000000
116 1537 1.000000
117 599 1.000000
118 2624 1.000000
119 2330 1.000000
120 1095 1.000000
121 3365 1.000000
122 527 1.000000
123 446 1.000000
124 1207 1.000000
125 1294 1.000000
126 1041 1.000000
127 58 1.000000
128 265 1.000000
129 1299 1.000000
130 1211 1.000000
131 903 1.000000
132 678 1.000000
133 2501 1.000000
134 1939 1.000000
135 497 1.000000
136 1287 1.000000
137 1900 1.000000
138 1361 1.000000
139 104 1.000000
140 1036 1.000000
141 1527 1.000000
142 2160 1.000000
143 3147 1.000000
144 1247 1.000000
145 1449 1.000000
146 2070 1.000000
147 3083 1.000000
148 2064 1.000000
149 1960 1.000000
150 2352 1.000000
151 1834 1.000000
152 3552 1.000000
153 2493 1.000000
154 555 1.000000
155 3114 1.000000
156 2925 1.000000
157 1266 1.000000
158 2731 1.000000
159 2944 1.000000
160 1641 1.000000
161 3469 1.000000
162 1302 1.000000
163 3949 1.000000
164 1228 1.000000
165 2318 1.000000
166 3545 1.000000
167 2599 1.000000
168 508 1.000000
169 2005 1.000000
170 2739 1.000000
171 111 1.000000
172 3148 1.000000
173 1238 1.000000
174 2183 1.000000
175 3196 1.000000
176 1176 1.000000
177 2575 1.000000
178 3911 1.000000
179 1226 1.000000
180 3671 1.000000
181 1387 1.000000
182 1956 1.000000
183 3072 1.000000
184 2268 1.000000
185 2197 1.000000
186 3252 1.000000
187 3925 1.000000
188 3077 1.000000
189 1253 1.000000
190 1219 1.000000
191 1263 1.000000
192 1997 1.000000
193 3095 1.000000
194 2109 1.000000
195 162 1.000000
196 1077 1.000000
197 3160 1.000000
198 590 1.000000
199 1028 1.000000
200 1101 1.000000
201 1073 1.000000
202 2396 1.000000
203 2791 1.000000
204 1270 1.000000
205 2908 1.000000
206 457 1.000000
207 3753 1.000000
208 2395 1.000000
209 3608 1.000000
210 1022 1.000000
211 2700 1.000000
212 39 1.000000
213 2890 1.000000
214 215 1.000000
215 3408 1.000000
216 1982 1.000000
217 1298 1.000000
218 3675 1.000000
219 2125 1.000000
220 1380 1.000000
221 597 1.000000
222 3175 1.000000
223 3510 1.000000
224 3101 1.000000
225 1965 1.000000
226 920 1.000000
227 3916 1.000000
228 1517 1.000000
229 1047 1.000000
230 553 1.000000
231 780 1.000000
232 595 1.000000
233 180 1.000000
234 1013 1.000000
235 1183 1.000000
236 3176 1.000000
237 2763 1.000000
238 2423 1.000000
239 1370 1.000000
240 1088 1.000000
241 288 1.000000
242 2710 1.000000
243 1573 1.000000
244 1917 1.000000
245 968 1.000000
246 377 1.000000
247 2881 1.000000
248 231 1.000000
249 1953 1.000000
250 1221 1.000000
251 2997 1.000000
252 1035 1.000000
253 539 1.000000
254 356 1.000000
255 2761 1.000000
256 3178 1.000000
257 1196 1.000000
258 1097 1.000000
259 1923 1.000000
260 589 1.000000
261 3578 1.000000
262 930 1.000000
263 1252 1.000000
264 608 1.000000
265 2020 1.000000
266 2987 1.000000
267 3000 1.000000
268 923 1.000000
269 1258 1.000000
270 3421 1.000000
271 2628 1.000000
272 1188 1.000000
273 1 1.000000
274 2683 1.000000
275 296 1.000000
276 480 1.000000
277 3091 1.000000
278 3265 1.000000
279 1721 1.000000
280 364 1.000000
281 750 1.000000
282 2076 1.000000
283 2028 1.000000
284 34 1.000000
285 110 1.000000
286 2745 1.000000
287 1089 1.000000
288 1584 1.000000
289 541 1.000000
290 2288 1.000000
291 1217 1.000000
292 913 1.000000
293 1617 1.000000
294 2706 1.000000
295 1204 1.000000
296 1732 1.000000
297 2692 1.000000
298 1197 1.000000
299 32 1.000000
300 741 1.000000
301 1200 1.000000
302 733 1.000000
303 919 1.000000
304 1250 1.000000
305 1224 1.000000
306 1918 1.000000
307 2858 1.000000
308 1293 1.000000
309 2571 1.000000
310 1704 1.000000
311 3470 1.000000
312 912 1.000000
313 2431 1.000000
314 1201 1.000000
315 2067 1.000000
316 3052 1.000000
317 858 1.000000
318 2150 1.000000
319 1080 1.000000
320 1199 1.000000
321 3751 1.000000
322 1218 1.000000
323 1304 1.000000
324 1136 1.000000
325 1132 1.000000
326 1079 1.000000
327 1274 1.000000
328 1210 1.000000
329 2021 1.000000
330 1282 1.000000
331 1240 1.000000
332 2762 1.000000
333 2140 1.000000
334 3801 0.999727
335 1244 0.999727
336 2920 0.999726
337 955 0.999726
338 2937 0.999726
339 1374 0.999726
340 1046 0.999726
341 3006 0.999725
342 1215 0.999725
343 1719 0.999725
344 2927 0.999725
345 2398 0.999725
346 2788 0.999724
347 945 0.999724
348 2300 0.999724
349 3683 0.999723
350 940 0.999723
351 363 0.999723
352 2810 0.999723
353 326 0.999723
354 649 0.999723
355 2966 0.999722
356 928 0.999722
357 1265 0.999722
358 3481 0.999722
359 3090 0.999722
360 3468 0.999722
361 308 0.999721
362 1962 0.999721
363 3061 0.999721
364 1945 0.999721
365 2303 0.999721
366 1645 0.999721
367 587 0.999720
368 994 0.999719
369 588 0.999719
370 223 0.999719
371 3062 0.999719
372 1289 0.999719
373 1276 0.999718
374 671 0.999718
375 2310 0.999718
376 3102 0.999718
377 2671 0.999718
378 1797 0.999717
379 965 0.999717
380 1261 0.999717
381 586 0.999717
382 778 0.999717
383 1958 0.999716
384 3717 0.999715
385 2132 0.999715
386 2393 0.999715
387 150 0.999714
