# Method: CombMIN
# Rank ItemID Score
1 1206 0.000000
2 260 0.000000
3 50 0.000000
4 3089 0.000000
5 318 0.000000
6 1230 0.000000
7 2186 0.000000
8 908 0.000000
9 1237 0.000000
10 1193 0.000000
11 29 0.000000
12 668 0.000000
13 2019 0.000000
14 1148 0.000000
15 3429 0.000000
16 745 0.000000
17 1307 0.000000
18 1223 0.000000
19 1131 0.000000
20 2905 0.000000
21 1212 0.000000
22 942 0.000000
23 3307 0.000000
24 953 0.000000
25 509 0.000000
26 2918 0.000000
27 3730 0.000000
28 1147 0.000000
29 3022 0.000000
30 3801 0.000000
31 1198 0.000000
32 1254 0.000000
33 2203 0.000000
34 3481 0.000000
35 1276 0.000000
36 471 0.000000
37 1208 0.000000
38 1243 0.000000
39 1288 0.000000
40 924 0.000000
41 3030 0.000000
42 1086 0.000000
43 3134 0.000000
44 905 0.000000
45 910 0.000000
46 3468 0.000000
47 2351 0.000000
48 670 0.000000
49 965 0.000000
50 1231 0.000000
51 1262 0.000000
52 2208 0.000000
53 904 0.000000
54 1284 0.000000
55 2920 0.000000
56 3359 0.000000
57 1256 0.000000
58 2804 0.000000
59 1968 0.000000
60 922 0.000000
61 759 0.000000
62 3435 0.000000
63 899 0.000000
64 2329 0.000000
65 2360 0.000000
66 326 0.000000
67 1225 0.000000
68 898 0.000000
69 3328 0.000000
70 1394 0.000000
71 3851 0.000000
72 951 0.000000
73 1281 0.000000
74 1292 0.000000
75 902 0.000000
76 2300 0.000000
77 307 0.000000
78 1104 0.000000
79 1267 0.000000
80 1947 0.000000
81 1242 0.000000
82 933 0.000000
83 1235 0.000000
84 2503 0.000000
85 971 0.000000
86 2022 0.000000
87 3074 0.000000
88 28 0.000000
89 720 0.000000
90 1272 0.000000
91 1303 0.000000
92 3067 0.000000
93 940 0.000000
94 3424 0.000000
95 1222 0.000000
96 3350 0.000000
97 1260 0.000000
98 3910 0.000000
99 3456 0.000000
100 3629 0.000000
101 926 0.000000
102 2607 0.000000
103 246 0.000000
104 306 0.000000
105 1257 0.000000
106 1066 0.000000
107 1295 0.000000
108 2248 0.000000
109 3507 0.000000
110 1220 0.000000
111 1950 0.000000
112 916 0.000000
113 556 0.000000
114 3822 0.000000
115 3897 0.000000
116 2066 0.000000
117 551 0.000000
118 1090 0.000000
119 2924 0.000000
120 1233 0.000000
121 2843 0.000000
122 214 0.000000
123 1949 0.000000
124 1203 0.000000
125 1177 0.000000
126 2819 0.000000
127 3451 0.000000
128 41 0.000000
129 1172 0.000000
130 1111 0.000000
131 3508 0.000000
132 1078 0.000000
133 1245 0.000000
134 800 0.000000
135 947 0.000000
136 3462 0.000000
137 3634 0.000000
138 293 0.000000
139 6 0.000000
140 1283 0.000000
141 2917 0.000000
142 3831 0.000000
143 1178 0.000000
144 954 0.000000
145 1269 0.000000
146 1500 0.000000
147 1227 0.000000
148 2947 0.000000
149 1209 0.000000
150 3347 0.000000
151 897 0.000000
152 1296 0.000000
153 3504 0.000000
154 2959 0.000000
155 53 0.000000
156 1259 0.000000
157 969 0.000000
158 1927 0.000000
159 529 0.000000
160 1358 0.000000
161 3108 0.000000
162 1213 0.000000
163 2324 0.000000
164 955 0.000000
165 2206 0.000000
166 2609 0.000000
167 2010 0.000000
168 1214 0.000000
169 2863 0.000000
170 1084 0.000000
171 1248 0.000000
172 1300 0.000000
173 2611 0.000000
174 3334 0.000000
175 2310 0.000000
176 3075 0.000000
177 866 0.000000
178 1963 0.000000
179 1942 0.000000
180 3362 0.000000
181 3338 0.000000
182 994 0.000000
183 2357 0.000000
184 3410 0.000000
185 911 0.000000
186 1446 0.000000
187 593 0.000000
188 1610 0.000000
189 950 0.000000
190 1788 0.000000
191 3683 0.000000
192 1625 0.000000
193 441 0.000000
194 3566 0.000000
195 3039 0.000000
196 47 0.000000
197 1234 0.000000
198 1162 0.000000
199 3849 0.000000
200 1236 0.000000
201 751 0.000000
202 1423 0.000000
203 3819 0.000000
204 2935 0.000000
205 1096 0.000000
206 1189 0.000000
207 308 0.000000
208 2323 0.000000
209 978 0.000000
210 3739 0.000000
211 3090 0.000000
212 1784 0.000000
213 3736 0.000000
214 1278 0.000000
215 1945 0.000000
216 931 0.000000
217 1246 0.000000
218 914 0.000000
219 1103 0.000000
220 3198 0.000000
221 1537 0.000000
222 3467 0.000000
223 2728 0.000000
224 3548 0.000000
225 945 0.000000
226 599 0.000000
227 2966 0.000000
228 3814 0.000000
229 936 0.000000
230 262 0.000000
231 1251 0.000000
232 456 0.000000
233 2624 0.000000
234 1244 0.000000
235 1297 0.000000
236 3317 0.000000
237 615 0.000000
238 3310 0.000000
239 2330 0.000000
240 1095 0.000000
241 928 0.000000
242 3365 0.000000
243 1936 0.000000
244 527 0.000000
245 322 0.000000
246 446 0.000000
247 1827 0.000000
248 3471 0.000000
249 3035 0.000000
250 3735 0.000000
251 1941 0.000000
252 337 0.000000
253 3037 0.000000
254 1207 0.000000
255 1294 0.000000
256 2859 0.000000
257 2499 0.000000
258 3306 0.000000
259 2940 0.000000
260 2594 0.000000
261 1362 0.000000
262 1041 0.000000
263 1934 0.000000
264 2202 0.000000
265 58 0.000000
266 3038 0.000000
267 906 0.000000
268 1935 0.000000
269 123 0.000000
270 3182 0.000000
271 3416 0.000000
272 1357 0.000000
273 265 0.000000
274 949 0.000000
275 2732 0.000000
276 319 0.000000
277 1299 0.000000
278 2212 0.000000
279 2495 0.000000
280 3098 0.000000
281 3461 0.000000
282 973 0.000000
283 1889 0.000000
284 3929 0.000000
285 1211 0.000000
286 903 0.000000
