# Method: CombMNZ
# Rank ItemID Score
1 2905 35771288.077383
2 668 35559245.516700
3 3338 35534004.672540
4 649 34776698.758134
5 3470 34625677.007477
6 2503 34621134.778558
7 670 34611518.861768
8 1236 34517765.041047
9 3849 34472744.180278
10 2925 34351079.717680
11 1423 34231095.339117
12 669 34181515.619623
13 1111 34134032.006528
14 3222 34094726.698151
15 3091 34064579.898624
16 326 34037238.482108
17 759 33942694.445341
18 2351 33858276.016322
19 3077 33837029.515483
20 1900 33805106.302211
21 3030 33790534.558859
22 3038 33765468.079195
23 2330 33757481.883306
24 2937 33750480.761658
25 3075 33724420.472495
26 2360 33615909.135026
27 456 33536229.533722
28 2848 33516380.809838
29 3022 33489469.115834
30 2920 33485502.506223
31 3801 33417646.340516
32 556 33413588.564551
33 116 33401182.834089
34 1178 33391293.152830
35 214 33367825.713503
36 2357 33343648.006532
37 2066 33326359.310242
38 2609 33311571.461825
39 1949 33155336.734799
40 2494 33133796.253619
41 3679 33129857.533214
42 2731 33066092.008781
43 3090 33049007.238853
44 2203 33020780.009011
45 3306 32994280.644481
46 3281 32939485.107270
47 2197 32929837.709046
48 936 32919183.825746
49 602 32883501.830454
50 3634 32883466.458767
51 1935 32876814.823290
52 906 32852044.858681
53 3951 32816113.037945
54 3089 32777903.000983
55 2493 32775277.529584
56 1131 32771323.706013
57 3469 32750273.166197
58 1934 32740728.544724
59 3307 32737286.386992
60 1147 32722673.118131
61 1132 32697816.567547
62 2624 32658643.395029
63 3787 32655563.121589
64 3134 32607889.217482
65 3224 32587594.858671
66 3789 32578660.944179
67 53 32524340.642325
68 2208 32514574.855584
69 2612 32488474.005817
70 1797 32488134.844722
71 2927 32473523.612066
72 363 32463253.573351
73 2206 32443558.410811
74 3379 32427206.714951
75 3737 32407470.179675
76 2940 32385946.978882
77 1942 32299513.547607
78 1361 32249687.157137
79 581 32249297.575042
80 632 32246605.294607
81 28 32245971.132629
82 1827 32241499.374748
83 3429 32211383.524265
84 927 32185717.221688
85 2726 32149803.884999
86 2935 32132803.213283
87 3456 32127078.604693
88 2323 32125497.036555
89 2843 32111052.192666
90 1226 32108165.441176
91 3245 32090452.904983
92 3096 32041649.029220
93 2936 32014527.119173
94 3092 32011066.976737
95 123 32000552.211166
96 678 31965510.481905
97 2839 31963475.215435
98 950 31962503.955484
99 911 31946691.152639
100 3365 31913738.090764
101 1066 31894219.470506
102 1260 31886401.132774
103 3347 31865652.448100
104 1788 31859506.558892
105 905 31834636.995371
106 746 31821901.419075
107 1879 31798204.444479
108 1176 31783311.470553
109 1218 31776192.416249
110 1362 31749749.361634
111 2983 31742558.273757
112 945 31739251.520926
113 942 31721943.628286
114 2607 31717010.340034
115 1939 31700870.552862
116 1844 31670399.774724
117 3475 31634091.567592
118 1927 31623369.663829
119 1180 31620868.431324
120 1936 31612240.444654
121 2810 31600594.099386
122 720 31591774.441310
123 2859 31499539.310559
124 947 31495800.866459
125 1419 31475490.710891
126 3002 31473160.315789
127 973 31464575.073981
128 2488 31450466.464953
129 928 31445203.029502
130 2594 31443109.815783
131 965 31392768.303033
132 3739 31375392.929800
133 907 31372947.836862
134 922 31365562.343701
135 3677 31352929.192020
136 2847 31333286.488013
137 3416 31286364.366998
138 1545 31283885.375899
139 2071 31234634.112722
140 1289 31219804.403993
141 1217 31205423.666380
142 1046 31198395.329992
143 2682 31163679.436264
144 1759 31161452.228451
145 1189 31161303.023206
146 3746 31145530.073824
147 916 31119350.066870
148 1161 31108372.323674
149 1925 31092748.916152
150 1940 31090434.356272
151 1950 31072021.621769
152 298 31032430.306040
153 2610 31028702.022004
154 128 31026589.524007
155 978 31007195.627777
156 1938 31005840.595501
157 1365 30997953.220286
158 599 30991261.604294
159 3196 30986847.386570
160 121 30986721.792710
161 1254 30972088.821119
162 3341 30944724.362258
163 954 30943354.175751
164 930 30940612.909155
165 3265 30940335.203266
166 3532 30909179.129157
167 1224 30891519.336002
168 3814 30876398.738211
169 1303 30866138.267232
170 213 30860147.572697
171 971 30838058.304474
172 3870 30830703.707029
173 3410 30829896.079921
174 3819 30827460.851556
175 1223 30807068.609319
176 3415 30801632.988228
177 1537 30792849.330697
178 3655 30786169.160097
179 943 30777398.591625
180 3728 30757244.683472
181 2562 30747794.138026
182 1571 30727559.763479
183 3198 30715472.634080
184 1212 30704933.825001
185 1283 30698068.577989
186 3462 30688109.726981
187 3929 30684784.671621
188 2186 30681064.182402
189 3350 30664339.644637
190 1533 30661873.492562
191 1177 30659956.991039
192 2183 30654056.279675
193 824 30624137.239151
194 3467 30617665.755725
195 1099 30616993.517406
196 2670 30608338.037033
197 446 30604910.099628
198 3435 30598792.129155
199 149 30598212.416870
200 3851 30582456.482785
201 3135 30565806.148937
202 3808 30538227.589962
203 3035 30537933.904082
204 951 30527057.207310
205 1069 30524455.488760
206 2824 30523175.189418
207 3088 30492225.143482
208 932 30489626.618476
209 926 30483208.745140
210 1300 30477096.983375
211 1420 30455496.401400
212 3637 30450131.245949
213 955 30429327.308801
214 615 30425607.006722
215 2732 30411880.659387
216 1117 30379920.256659
217 1929 30379600.394457
218 1889 30370730.208532
219 1162 30362708.709537
220 2677 30361346.466694
221 1209 30360524.118958
222 3736 30359580.628150
