# Method: CombSUM
# Rank ItemID Score
1 2905 5967.849195
2 668 5921.606248
3 3338 5904.620251
4 3470 5805.780853
5 1236 5784.777114
6 649 5772.066184
7 670 5769.548068
8 3030 5762.369468
9 3091 5751.237531
10 2503 5739.578047
11 3849 5736.852085
12 2925 5731.867131
13 1111 5718.551182
14 3022 5702.276369
15 1178 5698.172893
16 326 5682.343653
17 2351 5681.872129
18 2357 5680.348894
19 669 5678.935973
20 1423 5678.682040
21 3801 5677.479840
22 3222 5669.226255
23 2937 5665.684197
24 759 5665.614162
25 3077 5664.997408
26 2330 5660.208230
27 2360 5656.387201
28 3038 5644.511548
29 1900 5642.648356
30 2203 5637.831656
31 3075 5636.707416
32 1949 5631.957998
33 556 5630.871009
34 3469 5624.295581
35 456 5624.053251
36 3307 5623.030984
37 2920 5620.258897
38 3089 5616.501542
39 1147 5614.734578
40 2731 5612.984554
41 3090 5606.277733
42 2066 5599.186712
43 1131 5588.561341
44 2848 5574.913641
45 906 5572.865964
46 1132 5568.429252
47 3634 5563.097016
48 2609 5561.197239
49 116 5556.676565
50 720 5550.206332
51 905 5549.004183
52 936 5546.619010
53 214 5545.591776
54 922 5541.618789
55 3429 5538.408446
56 3679 5530.861024
57 2208 5529.689601
58 3134 5523.952095
59 1935 5518.095808
60 3789 5516.197248
61 911 5512.802615
62 678 5511.294911
63 2494 5504.867296
64 950 5499.398478
65 1260 5497.655368
66 1797 5492.499551
67 3281 5489.914185
68 2624 5487.003259
69 2206 5486.818605
70 2612 5485.138276
71 928 5483.034530
72 3306 5481.688095
73 602 5475.108530
74 1934 5473.207714
75 1226 5470.806857
76 28 5470.054475
77 3951 5461.160432
78 942 5460.826929
79 2197 5460.095790
80 2019 5456.631110
81 3435 5455.302573
82 3224 5454.903726
83 916 5454.750231
84 3365 5454.407467
85 1254 5451.872702
86 1361 5451.265578
87 2927 5448.577787
88 930 5448.250204
89 2493 5445.302796
90 3787 5444.408656
91 945 5442.258491
92 1223 5441.022361
93 3379 5440.806496
94 1224 5440.563462
95 2940 5439.359587
96 1218 5438.335173
97 581 5436.496557
98 1927 5436.370924
99 3347 5435.042205
100 1212 5434.501562
101 2186 5432.199749
102 1217 5431.753467
103 2935 5426.921671
104 1942 5426.665583
105 3196 5421.071971
106 1939 5419.878706
107 363 5419.574887
108 2726 5413.336233
109 1827 5411.463473
110 745 5410.763788
111 2936 5409.686908
112 1066 5405.799910
113 954 5401.178945
114 3737 5397.646599
115 2859 5393.756731
116 53 5389.285939
117 927 5385.829522
118 1283 5382.793017
119 1950 5380.436644
120 1284 5378.492699
121 898 5376.132252
122 123 5375.533716
123 965 5375.474024
124 3096 5374.312148
125 3456 5366.139737
126 3035 5357.532264
127 1176 5355.233609
128 1262 5347.948051
129 632 5347.695737
130 3265 5347.448186
131 926 5345.118139
132 1303 5342.010777
133 2323 5341.785340
134 1537 5341.344203
135 1189 5340.411829
136 1788 5340.178773
137 951 5338.764814
138 947 5337.366695
139 2843 5332.290301
140 3475 5327.398378
141 955 5326.330703
142 1362 5325.352124
143 599 5321.301786
144 3245 5317.390705
145 2983 5315.230789
146 3092 5313.040162
147 1203 5311.717516
148 1419 5311.422665
149 1272 5308.791397
150 3198 5306.750628
151 3468 5306.651183
152 1172 5305.361571
153 1289 5300.476130
154 2839 5298.984618
155 933 5298.015330
156 2607 5297.646624
157 3462 5295.618590
158 3088 5293.789087
159 2071 5291.315283
160 746 5291.303861
161 971 5290.454333
162 1936 5289.866206
163 2329 5282.487729
164 1879 5282.093762
165 2788 5282.016199
166 1300 5281.077280
167 3819 5280.483188
168 1180 5271.023242
169 2488 5268.967409
170 907 5266.568380
171 3814 5265.415883
172 1844 5265.236870
173 973 5263.394961
174 1269 5262.905480
175 3467 5260.767312
176 2810 5259.752680
177 1148 5253.003947
178 446 5251.357258
179 3341 5249.317110
180 2594 5245.764067
181 1086 5245.370730
182 3811 5244.431344
183 232 5239.272600
184 3002 5238.541997
185 2819 5234.052475
186 1545 5232.293925
187 953 5230.322139
188 1046 5228.489246
189 1299 5227.216053
190 943 5224.477778
191 3739 5224.008147
192 1449 5223.843193
193 3677 5223.746950
194 1938 5223.355895
195 3949 5220.523023
196 1945 5219.430651
197 2682 5219.172573
198 3416 5218.743014
199 1161 5218.649945
200 2670 5211.704076
201 1280 5211.061284
202 1940 5210.396239
203 2847 5210.057614
204 306 5208.429914
205 1099 5204.316423
206 909 5200.958282
207 978 5200.804366
208 3746 5200.455848
209 1759 5197.906961
210 899 5193.897793
211 1104 5193.598682
212 2183 5192.962270
213 1253 5192.430985
214 3728 5189.344472
215 2677 5188.200011
216 213 5187.451265
217 3135 5185.918926
218 932 5181.785625
219 3929 5180.615342
220 3350 5179.787102
221 1925 5179.535052
222 1177 5177.297702
223 1250 5172.802114
224 910 5172.510188
225 1365 5169.772051
