# Method: DIBRA
# Rank ItemID Score
1 2905 50011.541544
2 668 49617.885566
3 3338 49470.803528
4 3470 48700.556761
5 1236 48546.306365
6 3030 48439.694184
7 670 48417.207769
8 649 48358.704586
9 3091 48257.901977
10 2925 48140.144007
11 2503 48100.560475
12 3849 48086.190606
13 3022 48064.717895
14 1178 48026.606343
15 1111 48015.013653
16 2351 47832.601673
17 326 47727.160887
18 2357 47707.583590
19 3801 47691.458857
20 669 47624.785159
21 1423 47603.503236
22 2360 47577.970346
23 2937 47546.185582
24 3222 47541.966262
25 2330 47540.714941
26 3077 47520.641494
27 2203 47508.610144
28 759 47468.576989
29 1949 47424.786535
30 3469 47406.098450
31 3307 47400.860330
32 3089 47387.964998
33 556 47359.128379
34 1900 47348.553608
35 3038 47345.856952
36 3075 47327.841192
37 1147 47309.125338
38 2920 47288.497278
39 2731 47263.470458
40 456 47248.687825
41 3090 47212.419094
42 1131 47113.535545
43 2066 47103.911905
44 1132 46914.900364
45 906 46891.620670
46 3634 46863.612608
47 720 46851.950594
48 922 46844.125529
49 905 46788.486641
50 2848 46784.418162
51 3134 46732.178697
52 3429 46722.192833
53 936 46672.431553
54 2208 46671.827011
55 2609 46655.852176
56 116 46574.918572
57 1260 46504.297674
58 911 46500.902502
59 214 46436.304635
60 678 46424.012435
61 3679 46356.744212
62 950 46346.043021
63 3789 46337.672448
64 1935 46325.300992
65 928 46322.467480
66 2206 46170.188537
67 1797 46146.255433
68 2494 46132.529260
69 1254 46125.278320
70 2624 46121.049131
71 3435 46113.070452
72 2019 46110.455913
73 3306 46103.147243
74 930 46092.191239
75 2612 46088.700713
76 916 46080.291817
77 1361 46068.798260
78 1226 46053.675287
79 1934 46047.112447
80 3281 46043.404750
81 942 46036.921365
82 1927 46034.068541
83 3365 46032.803042
84 1212 46006.301180
85 2186 45985.611277
86 1223 45980.009127
87 1217 45971.001106
88 28 45956.302615
89 1224 45950.619477
90 945 45934.076663
91 602 45890.717826
92 2940 45874.919122
93 1218 45862.887286
94 954 45795.215174
95 3196 45792.029130
96 3951 45783.056991
97 2927 45779.242280
98 2726 45778.372525
99 3224 45773.357577
100 3347 45767.794449
101 1939 45762.324882
102 2935 45741.491921
103 581 45738.616891
104 1942 45668.740562
105 2197 45665.716081
106 745 45665.201163
107 3787 45645.436560
108 2493 45643.394365
109 3379 45624.837426
110 1066 45623.283499
111 2936 45595.293922
112 363 45594.281333
113 1283 45587.929118
114 1950 45541.767221
115 2859 45536.792533
116 1827 45481.717466
117 927 45441.359193
118 3737 45433.574744
119 965 45433.151654
120 898 45432.497481
121 1262 45369.545218
122 1284 45363.032759
123 3035 45332.494311
124 926 45320.481827
125 1189 45267.891062
126 3265 45235.965272
127 951 45186.901579
128 123 45170.229480
129 1303 45161.138232
130 1272 45155.036252
131 53 45132.018818
