# Method: Dowdall
# Rank ItemID Score
1 2905 1532.106478
2 318 1178.735148
3 2019 841.678767
4 50 558.187272
5 3030 555.957472
6 668 529.528662
7 1148 527.218916
8 527 517.751563
9 922 395.025270
10 2324 391.183532
11 904 383.539818
12 1207 347.616236
13 3022 336.266161
14 953 335.102424
15 858 324.502841
16 2762 317.817905
17 745 314.410188
18 3435 288.665944
19 912 286.658397
20 3338 276.323763
21 720 272.597844
22 1178 259.513566
23 260 244.011607
24 923 242.912904
25 296 241.308396
26 750 238.901106
27 1250 237.801971
28 1212 234.315016
29 1204 225.731138
30 3307 222.794136
31 593 221.644541
32 1193 215.766236
33 2028 215.051445
34 913 213.726585
35 2329 210.972467
36 3469 210.842220
37 1262 207.830523
38 910 206.574517
39 2571 205.137049
40 2858 200.248326
41 919 197.789955
42 1198 197.107904
43 3134 189.864397
44 3091 184.757008
45 3578 182.173035
46 2203 178.853366
47 2804 178.275903
48 899 174.337616
49 1172 170.381014
50 1136 170.218712
51 1234 169.499747
52 1236 169.334889
53 3470 167.895043
54 898 164.627751
55 110 161.486152
56 1197 159.712387
57 1217 157.345707
58 1203 154.602005
59 1223 154.567029
60 3114 146.304348
61 608 145.920395
62 1035 145.891046
63 1147 144.230292
64 3147 140.552179
65 1221 138.535606
66 2357 137.402334
67 908 131.766997
68 1208 129.226779
69 905 128.914380
70 3089 127.641843
71 1288 126.366239
72 2501 123.061294
73 1272 122.371273
74 1284 120.859030
75 2731 119.537072
76 1111 119.207076
77 541 118.296948
78 2997 118.012993
79 2925 117.318753
80 1252 111.885861
81 1230 111.243618
82 670 111.189516
83 2186 108.935650
84 1278 106.898154
85 903 106.152890
86 916 105.702821
87 1260 104.542037
88 969 101.769791
89 3801 101.222279
90 356 100.657488
91 1206 100.524683
92 2360 100.513583
93 3429 99.650683
94 1131 98.734136
95 1213 98.601514
96 2351 95.936969
97 1224 95.649927
98 1299 93.566474
99 3421 92.516780
100 930 92.471605
101 1704 91.361720
102 1361 91.237854
103 678 91.127678
104 1036 88.582428
105 1254 87.809827
106 1219 85.696028
107 926 84.432569
108 2330 84.428242
109 1269 82.628758
110 1927 82.190152
111 649 82.018006
112 3949 81.914545
113 2692 81.078817
114 1196 80.760310
115 924 80.104844
116 1225 79.425470
117 1949 79.349191
118 1233 79.342759
119 1132 79.286257
120 1218 78.313843
121 928 77.660477
122 1945 77.322823
123 3849 76.737256
124 2918 76.659219
125 1358 76.343751
126 1267 75.783130
127 1283 75.625093
128 1256 75.225440
129 1237 74.940621
130 3077 74.570620
