# Method: ER
# Rank ItemID Score
1 2905 911.703467
2 318 795.561388
3 2019 439.448985
4 50 266.843020
5 527 257.905922
6 3030 243.908212
7 1148 224.261130
8 668 197.333929
9 2324 190.542655
10 922 144.175171
11 953 141.920170
12 858 140.320974
13 2762 140.152966
14 1207 134.676760
15 296 134.526450
16 3022 123.272945
17 904 121.571200
18 912 110.282559
19 260 109.411376
20 2858 107.854060
21 923 99.887861
22 2028 96.740140
23 2571 95.581030
24 3435 85.403407
25 3578 83.369215
26 745 83.166413
27 750 79.993739
28 593 78.969341
29 110 77.982430
30 1035 77.559798
31 720 75.876278
32 1198 72.301350
33 3134 68.619464
34 608 65.572044
35 919 65.048700
36 1204 63.972831
37 910 63.897489
38 1212 63.044205
39 1178 62.660447
40 2329 61.989635
41 2804 60.736445
42 2997 60.108064
43 1136 59.824438
44 3307 59.359761
45 1193 59.068365
46 913 57.573703
47 3338 57.101633
48 1197 53.869585
49 1250 51.847298
50 1288 51.449076
51 1172 50.830058
52 1230 48.773685
53 3114 48.136350
54 3147 47.799082
55 1206 47.745040
56 1217 46.055023
57 899 46.053296
58 3469 42.092616
59 356 41.383439
60 2203 40.066660
61 2501 39.821354
62 1208 39.759479
63 898 36.533509
64 1203 35.639427
65 541 35.022706
66 1221 34.469147
67 1223 33.558184
68 3091 33.280253
69 1262 33.188299
70 1234 32.653048
71 924 32.597221
72 1213 31.740527
73 3421 31.507077
74 3753 31.362089
75 1236 29.538149
76 1036 26.494503
77 1252 26.062595
78 1240 25.088990
79 2959 24.858694
80 3916 23.539511
81 3470 22.174887
82 1923 21.187233
83 1147 20.150547
84 1200 20.100165
85 1196 19.927413
86 969 19.815744
87 2731 19.668578
88 1219 19.627333
89 908 19.408358
90 2692 19.396027
91 1089 18.300758
92 3160 17.566440
93 1307 17.356924
94 3949 17.198557
95 1214 17.079638
96 1361 17.067734
97 920 16.947871
98 1237 16.808373
99 2918 16.759522
100 2357 16.659217
101 589 16.543308
102 1199 16.442594
103 1704 16.410399
104 1278 16.409529
105 1111 16.383743
106 1284 15.881017
107 1228 15.791806
108 905 15.619286
109 1997 15.506322
110 2925 15.396889
111 47 15.274666
112 1258 15.141216
113 903 14.752402
114 1260 14.733067
115 595 14.505283
116 3429 14.374392
117 1246 13.774309
118 1256 13.762593
119 2360 13.480206
120 1272 13.029464
121 916 12.551826
122 3089 12.458378
123 2396 12.396675
124 1218 12.315349
125 926 10.963757
126 1131 10.524442
127 1610 10.359251
128 1104 10.334468
129 670 9.960705
130 246 9.923454
131 1201 9.843445
132 678 9.711320
133 2624 9.702909
134 1 9.628292
135 306 9.445514
136 3671 9.340838
137 1927 9.292740
138 3052 9.192422
139 1721 9.088030
140 1247 8.691323
141 2330 8.647547
142 1224 8.337522
143 553 8.157355
144 1947 8.091773
145 3265 8.089728
146 34 7.788044
147 1387 7.758744
148 1299 7.723432
149 2351 7.669647
150 2186 7.651196
151 1226 7.604106
152 1189 7.568842
153 1225 7.534438
154 1233 7.324693
155 914 7.188219
156 3083 7.095160
157 2066 6.992900
158 162 6.902947
159 930 6.751260
160 1132 6.720378
161 307 6.716936
162 2700 6.647749
163 2791 6.539834
164 1101 6.524949
165 1358 6.453881
166 1945 6.407531
167 2908 6.320430
168 2064 6.185808
169 1267 6.066846
170 1300 6.002260
171 3552 5.931612
172 597 5.868107
173 1283 5.814273
174 3801 5.701345
175 1394 5.601154
176 1617 5.527351
177 1242 5.497536
178 590 5.496899
179 3629 5.328027
180 111 5.322146
181 1269 5.301522
182 1080 5.257467
183 1248 5.253423
184 954 5.205550
185 457 5.179839
186 1294 5.121347
187 1222 5.029755
188 3077 5.026765
189 1900 5.023533
190 2599 4.956224
191 2067 4.876093
192 2395 4.760130
193 539 4.732276
194 2208 4.633579
195 1235 4.595530
196 2706 4.563395
197 1287 4.559229
198 1073 4.441316
199 3849 4.428874
200 951 4.420565
201 1304 4.397344
202 1732 4.383292
203 104 4.382952
204 1276 4.377227
205 2109 4.352654
206 1210 4.311166
207 1949 4.288162
208 1263 4.285554
209 1220 4.219120
210 3462 4.212449
211 1253 4.206816
212 3408 4.190440
213 3090 4.107130
214 928 4.006960
215 1254 3.956108
216 1449 3.950822
217 1293 3.927360
218 3730 3.896700
219 1176 3.828712
220 2761 3.824270
221 58 3.782722
222 3095 3.775690
223 29 3.709351
224 1380 3.669029
225 1939 3.649016
226 2268 3.635593
227 649 3.611564
228 2197 3.584295
229 364 3.502432
230 1028 3.491835
231 2920 3.488214
232 265 3.425378
233 3196 3.389661
234 3897 3.389239
235 1041 3.270951
236 3148 3.265152
237 1270 3.228084
238 3365 3.202130
239 3175 3.168943
240 2609 3.032183
241 780 3.031176
242 1537 3.006962
243 3911 2.996417
244 223 2.993784
245 1097 2.989970
246 955 2.987833
247 555 2.981650
248 3000 2.923874
249 2423 2.898178
250 2937 2.887129
251 1982 2.881707
252 968 2.876902
253 1077 2.863425
254 3545 2.834747
255 1238 2.816155
256 2318 2.806941
257 1266 2.773279
258 1917 2.662148
259 180 2.651392
260 733 2.628285
261 2076 2.625403
262 326 2.610759
263 2160 2.563605
264 1302 2.539735
265 2788 2.505716
266 2300 2.455379
267 2352 2.452820
268 1423 2.433467
269 911 2.416797
270 1066 2.402296
271 32 2.381104
272 497 2.379456
273 3751 2.316397
274 1527 2.311823
275 1188 2.298213
276 1088 2.259401
277 480 2.242059
278 556 2.240988
279 1090 2.239332
280 1046 2.232165
281 1784 2.225983
282 2739 2.206532
283 759 2.152985
284 599 2.096797
285 950 2.092785
286 3510 2.086563
287 2398 2.082501
288 1953 2.078410
289 1834 2.071296
290 150 2.046899
291 1282 2.025256
292 1244 2.024639
293 1291 1.941954
294 1303 1.937261
295 3035 1.924299
296 3468 1.911151
297 3252 1.870119
298 3178 1.855549
299 446 1.852521
300 3683 1.840690
301 3424 1.839170
302 1211 1.800651
303 2935 1.791822
304 508 1.776439
305 2944 1.773911
306 3006 1.765156
307 2745 1.753592
308 945 1.752768
309 800 1.747874
310 2683 1.747714
311 3608 1.739434
312 1095 1.708551
313 2020 1.704104
314 2248 1.703161
315 1641 1.703078
316 2503 1.694607
317 3675 1.669020
318 551 1.666153
319 1292 1.665843
320 2125 1.664581
321 1960 1.640360
322 1584 1.623501
323 994 1.581155
324 2966 1.575982
325 741 1.569455
326 3634 1.561471
327 2010 1.539565
328 2493 1.525288
329 1374 1.501659
330 2150 1.495993
331 1573 1.490867
332 2763 1.486057
333 1231 1.466918
334 3379 1.460031
335 1954 1.450094
336 1274 1.449070
337 1797 1.442964
338 942 1.426118
339 231 1.420063
340 1047 1.416063
341 1079 1.415767
342 6 1.400487
343 1517 1.375054
344 2132 1.372447
345 1956 1.346315
346 1950 1.336904
347 2000 1.331587
348 2890 1.311460
349 17 1.306706
350 2022 1.301508
351 2431 1.300661
352 2987 1.300504
353 932 1.290375
354 2183 1.288346
355 2710 1.258021
356 3198 1.232850
357 778 1.231736
358 215 1.229147
359 1961 1.217137
360 39 1.191324
361 3072 1.170470
362 933 1.166761
363 3925 1.153759
364 1022 1.144572
365 940 1.143620
366 2628 1.124801
367 377 1.121168
368 363 1.120687
369 2575 1.114508
370 2726 1.108862
371 1183 1.106913
372 2140 1.099116
373 1965 1.096664
374 3088 1.095614
375 2021 1.090209
376 2881 1.087504
377 1370 1.082747
378 906 1.072819
379 3101 1.071985
380 2288 1.070988
381 1298 1.065978
382 2070 1.065007
383 2005 1.033659
384 1013 1.031119
385 669 1.023398
386 1918 1.023341
387 3176 1.020957
388 2973 1.011708
389 288 1.010193
390 3062 0.995686
391 2810 0.983419
392 2859 0.954535
393 965 0.944001
394 1265 0.935449
395 308 0.929747
396 1301 0.928294
397 3363 0.914854
398 3789 0.910089
399 927 0.898413
400 1280 0.880856
401 3359 0.871245
402 1023 0.867055
403 1289 0.859892
404 602 0.857189
405 1296 0.837158
406 456 0.833544
407 1275 0.810095
408 1261 0.808286
409 1678 0.806283
410 2542 0.796973
411 3471 0.786449
412 3819 0.782853
413 2612 0.772727
414 1719 0.772644
415 1175 0.767596
416 2716 0.766936
417 3222 0.763792
418 28 0.730023
419 2081 0.721758
420 1243 0.720681
421 1096 0.719407
422 1934 0.705281
423 1348 0.705158
424 1249 0.701576
425 1952 0.700642
426 1625 0.682911
427 293 0.680304
428 214 0.677431
429 1259 0.668058
430 936 0.665795
431 3038 0.655284
432 1209 0.652355
433 971 0.647642
434 587 0.643670
435 116 0.637524
436 1921 0.627953
437 1251 0.625914
438 3416 0.614780
439 3793 0.610509
440 2927 0.607879
441 3811 0.602291
442 1968 0.596957
443 3481 0.586205
444 1215 0.585216
445 2303 0.582484
446 1907 0.581796
447 1645 0.580414
448 3075 0.577359
449 588 0.570179
450 2644 0.569927
451 1682 0.552158
452 3396 0.537886
453 1281 0.524777
454 3717 0.513795
455 2565 0.511417
456 1273 0.505028
457 2940 0.497694
458 805 0.493297
459 1935 0.490563
460 1962 0.489214
461 3456 0.487798
462 2529 0.473514
463 915 0.470275
464 3742 0.469728
465 2677 0.466278
466 2797 0.462866
467 2206 0.461700
468 2936 0.461504
469 2648 0.460109
470 3210 0.459608
471 3074 0.457919
472 3347 0.456548
473 671 0.452003
474 3679 0.448036
475 581 0.431617
476 165 0.430300
477 11 0.429997
478 3787 0.427329
479 213 0.425260
480 3948 0.422356
481 3467 0.421462
482 2502 0.420745
483 2983 0.418217
484 16 0.414154
485 2071 0.402373
486 1674 0.401886
487 785 0.391075
488 3201 0.385467
489 1580 0.378511
490 2289 0.377440
491 1099 0.376429
492 380 0.368617
493 909 0.367477
494 3163 0.366743
495 1912 0.365535
496 1608 0.365442
497 1060 0.360576
498 3746 0.359266
499 3306 0.359208
500 2115 0.357680
501 2863 0.354698
502 3033 0.353275
503 1958 0.352825
504 2728 0.351763
505 1827 0.348840
506 3814 0.348091
507 2313 0.345866
508 524 0.344154
509 3505 0.341667
510 3061 0.337978
511 428 0.337417
512 2795 0.337373
513 3007 0.337295
514 1362 0.337219
515 2467 0.336841
516 3361 0.336535
517 62 0.335977
518 2167 0.335939
519 3703 0.333194
520 1084 0.333184
521 1086 0.332314
