# Method: MC1
# Rank ItemID Score
1 2905 0.000538
2 668 0.000533
3 3338 0.000532
4 2357 0.000532
5 2197 0.000531
6 1111 0.000531
7 649 0.000530
8 3379 0.000530
9 3470 0.000529
10 1900 0.000528
11 28 0.000528
12 1218 0.000528
13 2624 0.000528
14 3091 0.000527
15 3849 0.000527
16 3030 0.000526
17 759 0.000526
18 2503 0.000526
19 1423 0.000525
20 1226 0.000525
21 214 0.000524
22 1236 0.000524
23 3222 0.000523
24 2609 0.000523
25 2731 0.000523
26 3787 0.000523
27 2329 0.000523
28 3077 0.000522
29 2925 0.000522
30 1537 0.000522
31 3090 0.000522
32 116 0.000522
33 3679 0.000522
34 906 0.000522
35 3038 0.000521
36 2937 0.000521
37 2019 0.000521
38 456 0.000521
39 2501 0.000521
40 1419 0.000521
41 745 0.000521
42 1449 0.000521
43 3074 0.000521
44 3801 0.000521
45 2612 0.000521
46 678 0.000521
47 3925 0.000521
48 1147 0.000520
49 1148 0.000520
50 670 0.000520
51 922 0.000520
52 1797 0.000520
53 2788 0.000520
54 2330 0.000520
55 632 0.000520
56 932 0.000520
57 3916 0.000519
58 669 0.000519
59 3578 0.000519
60 326 0.000519
61 1176 0.000519
62 905 0.000519
63 3347 0.000518
64 428 0.000518
65 1223 0.000518
66 3429 0.000518
67 2324 0.000518
68 898 0.000518
69 2493 0.000518
70 911 0.000518
71 3198 0.000518
72 3789 0.000518
73 720 0.000518
74 3341 0.000518
75 3224 0.000518
76 3469 0.000518
77 831 0.000517
78 916 0.000517
79 1827 0.000517
80 3022 0.000517
81 602 0.000517
82 553 0.000517
83 1949 0.000517
84 1563 0.000517
85 3307 0.000517
86 2810 0.000517
87 3951 0.000517
88 50 0.000517
89 1935 0.000517
90 2360 0.000517
91 3069 0.000516
92 933 0.000516
93 2488 0.000516
94 3456 0.000516
95 3655 0.000516
96 1262 0.000516
97 123 0.000516
98 3147 0.000516
99 942 0.000516
100 1844 0.000516
101 2983 0.000516
102 2920 0.000516
103 2585 0.000516
104 318 0.000516
105 1242 0.000516
106 1301 0.000516
107 3281 0.000516
108 1250 0.000515
109 1272 0.000515
110 2071 0.000515
111 3505 0.000515
112 904 0.000515
113 3035 0.000515
114 2494 0.000515
115 581 0.000515
116 2848 0.000515
117 2066 0.000515
118 3435 0.000515
119 824 0.000515
120 1940 0.000514
121 232 0.000514
122 3075 0.000514
123 2936 0.000514
124 2183 0.000514
125 2847 0.000514
126 1178 0.000514
127 3819 0.000514
128 3196 0.000514
129 1300 0.000514
130 47 0.000514
131 3089 0.000514
132 1172 0.000514
133 2562 0.000514
134 3088 0.000514
135 1533 0.000514
136 1224 0.000514
137 2762 0.000514
138 1253 0.000514
139 928 0.000513
140 2351 0.000513
141 3178 0.000513
142 1273 0.000513
143 3062 0.000513
144 2323 0.000513
145 2206 0.000513
146 2819 0.000513
147 955 0.000513
148 53 0.000513
149 3911 0.000513
150 449 0.000513
151 2927 0.000513
152 3814 0.000513
153 3475 0.000513
154 1269 0.000512
155 3851 0.000512
156 2859 0.000512
157 3897 0.000512
158 2203 0.000512
159 2839 0.000512
160 3192 0.000512
161 58 0.000512
162 1211 0.000512
163 2677 0.000512
164 1131 0.000512
165 3265 0.000512
166 1132 0.000512
167 1203 0.000512
168 950 0.000512
169 628 0.000512
170 1283 0.000512
171 1293 0.000511
172 3096 0.000511
173 49 0.000511
174 2670 0.000511
175 2935 0.000511
176 3365 0.000511
177 1231 0.000511
178 930 0.000511
179 3306 0.000511
180 910 0.000511
181 3510 0.000511
182 298 0.000511
183 1299 0.000511
184 1257 0.000511
185 2745 0.000511
186 1545 0.000511
187 556 0.000511
188 746 0.000511
189 73 0.000511
190 945 0.000511
191 903 0.000510
192 1238 0.000510
193 363 0.000510
194 1234 0.000510
195 307 0.000510
196 3753 0.000510
197 2795 0.000510
198 1260 0.000510
199 1950 0.000510
200 1358 0.000510
201 1879 0.000510
202 1289 0.000510
203 1193 0.000510
204 805 0.000510
205 705 0.000510
206 3148 0.000510
207 1297 0.000509
208 3134 0.000509
209 1625 0.000509
210 128 0.000509
211 2186 0.000509
212 1099 0.000509
213 1934 0.000509
214 2607 0.000509
215 457 0.000509
216 1284 0.000509
217 2580 0.000509
218 943 0.000509
219 1278 0.000509
220 1207 0.000509
221 1788 0.000509
222 1198 0.000509
223 3532 0.000509
224 1303 0.000509
225 3746 0.000509
226 1066 0.000509
227 714 0.000508
228 1758 0.000508
229 1197 0.000508
230 1212 0.000508
231 3092 0.000508
232 899 0.000508
233 1217 0.000508
234 3256 0.000508
235 3836 0.000508
236 1889 0.000508
237 3606 0.000508
238 2208 0.000508
239 1287 0.000508
240 3462 0.000508
241 1704 0.000508
242 1942 0.000508
243 1036 0.000508
244 1939 0.000508
245 3252 0.000508
246 308 0.000508
247 446 0.000508
248 1365 0.000508
249 2843 0.000508
250 951 0.000508
251 681 0.000508
252 2610 0.000508
253 2682 0.000508
254 3498 0.000508
255 1086 0.000508
256 913 0.000508
257 3737 0.000508
258 306 0.000508
259 508 0.000507
260 915 0.000507
261 3634 0.000507
262 3114 0.000507
263 3182 0.000507
264 2804 0.000507
265 1275 0.000507
266 527 0.000507
267 1610 0.000507
268 2310 0.000507
269 1362 0.000507
270 2692 0.000507
271 1225 0.000507
272 2423 0.000507
273 936 0.000507
274 356 0.000507
275 583 0.000506
276 3677 0.000506
277 907 0.000506
278 1936 0.000506
279 3002 0.000506
280 1401 0.000506
281 1938 0.000506
282 750 0.000506
283 110 0.000506
284 1264 0.000506
285 2268 0.000506
286 161 0.000506
287 213 0.000506
288 2618 0.000506
289 2565 0.000506
290 931 0.000506
291 149 0.000506
292 1304 0.000506
293 1204 0.000506
294 1361 0.000506
295 1927 0.000506
296 2398 0.000506
297 1189 0.000506
298 1254 0.000506
299 593 0.000506
300 321 0.000505
301 1913 0.000505
302 1050 0.000505
303 1177 0.000505
304 733 0.000505
305 978 0.000505
306 1201 0.000505
307 1192 0.000505
308 96 0.000505
309 954 0.000505
310 2194 0.000505
311 3083 0.000505
312 3245 0.000505
313 1674 0.000505
314 2917 0.000505
315 771 0.000505
316 2918 0.000505
317 919 0.000505
318 926 0.000505
319 3000 0.000505
320 953 0.000505
321 3406 0.000505
322 349 0.000505
323 2502 0.000505
324 994 0.000504
325 1279 0.000504
326 3536 0.000504
327 969 0.000504
328 3079 0.000504
329 1280 0.000504
330 1678 0.000504
331 567 0.000504
332 908 0.000504
333 3468 0.000504
334 1221 0.000504
335 940 0.000504
336 1663 0.000504
337 1180 0.000504
338 2073 0.000504
339 3052 0.000504
340 1834 0.000504
