# Method: Mean
# Rank ItemID Score
1 2905 -41.373841
2 668 -68.966060
3 3338 -78.984437
4 3470 -135.662748
5 1236 -147.307947
6 649 -156.983940
7 670 -158.115232
8 3030 -158.848675
9 3091 -166.477318
10 2503 -176.175993
11 3849 -176.801490
12 2925 -179.531457
13 1111 -185.879139
14 3022 -193.273179
15 1178 -195.882616
16 2351 -207.331291
17 2357 -207.787583
18 326 -207.942053
19 3801 -208.921026
20 669 -211.107781
21 1423 -211.716556
22 3222 -216.420530
23 2937 -217.971689
24 3077 -218.939901
25 759 -219.131126
26 2330 -220.926821
27 2360 -222.112914
28 3038 -230.723344
29 2203 -230.840066
30 1900 -231.696192
31 3075 -234.269371
32 1949 -234.724007
33 3469 -237.284603
34 556 -237.838576
35 3307 -239.460762
36 456 -241.054305
37 3089 -242.919536
38 2920 -244.216225
39 1147 -244.768212
40 2731 -246.603974
41 3090 -248.363411
42 2066 -256.366556
43 1131 -259.714901
44 906 -269.178146
45 2848 -271.470861
46 1132 -271.984934
47 3634 -277.276656
48 2609 -278.751159
49 720 -279.553808
50 905 -280.672351
51 922 -282.844536
52 116 -282.881954
53 936 -286.277483
54 3429 -289.206126
55 214 -289.309768
56 2208 -295.871689
57 3679 -297.047351
58 3134 -298.011093
59 911 -302.450497
60 1935 -303.178311
61 3789 -304.384603
62 678 -304.652483
63 1260 -310.350993
64 950 -311.103974
65 2494 -313.006954
66 1797 -317.198510
67 928 -318.466722
68 2206 -319.694371
69 2612 -321.538576
70 3281 -321.587748
71 2624 -321.880132
72 3306 -327.051821
73 1226 -328.499338
74 602 -329.920199
75 1934 -330.298013
76 28 -330.596192
77 2019 -331.547020
78 3435 -334.041722
79 942 -334.510099
80 916 -334.692881
81 1254 -336.025331
82 3365 -336.867219
83 930 -337.530795
84 3951 -338.784603
85 2197 -338.988079
86 3224 -341.484934
87 1361 -341.800993
88 1224 -342.728477
89 1223 -343.527980
90 945 -344.779801
91 2927 -345.284437
92 1212 -345.700166
93 1218 -346.648344
94 2186 -346.726987
95 1927 -347.596854
96 3787 -347.873675
97 3379 -347.912914
98 1217 -348.160430
99 2493 -348.440894
100 3347 -348.547682
101 2940 -350.575166
102 581 -351.125828
103 3196 -355.987583
104 2935 -356.009934
105 1942 -357.388079
106 1939 -358.418543
107 745 -360.229470
108 363 -362.295861
109 2726 -364.384603
110 954 -364.500497
111 1827 -365.397682
112 2936 -366.002649
113 1066 -368.249503
114 2859 -373.743709
115 3737 -375.437417
116 1283 -375.846358
117 1950 -379.216060
118 1284 -380.438742
119 898 -380.577815
120 927 -381.927483
121 53 -381.978311
122 965 -383.586093
123 123 -387.206291
124 3096 -388.534603
125 3035 -390.685762
126 1262 -392.945199
127 3456 -393.606126
128 1176 -398.338079
129 926 -398.689570
130 3265 -400.335927
131 1303 -402.050828
132 951 -403.717881
133 1537 -404.236258
134 1189 -404.859768
135 632 -405.108609
136 1788 -407.941225
137 2323 -409.110099
138 947 -409.410265
139 955 -410.169040
140 1272 -414.140066
141 2843 -414.761258
142 599 -414.774007
143 3475 -414.835099
144 1203 -416.054139
145 1362 -416.551159
146 1172 -419.359603
147 3468 -420.571358
148 3198 -421.334437
149 2983 -422.046689
150 3245 -423.810099
151 1419 -424.423013
152 933 -425.036921
153 3092 -426.679636
154 3088 -427.799834
155 1289 -428.859603
156 2329 -429.604636
157 3462 -431.412583
158 971 -432.608775
159 2071 -433.242550
160 2839 -434.036258
161 2607 -434.302318
162 2788 -434.340232
163 1300 -437.666556
164 1936 -437.678642
165 746 -438.358444
166 3819 -441.094536
167 1879 -444.468543
168 1269 -445.310265
169 3814 -449.041887
170 1180 -449.825662
171 2488 -450.067550
172 907 -450.757947
173 1148 -451.929801
174 3467 -452.981126
175 1844 -453.482616
176 973 -454.004801
177 2810 -456.285927
178 953 -457.455132
179 1086 -457.475828
180 446 -458.156291
181 3341 -459.616556
182 3811 -460.554305
183 232 -463.773510
184 1299 -464.325828
185 2819 -465.066060
186 2594 -465.722517
187 1449 -467.667384
188 3002 -468.897517
189 1945 -470.431623
190 1545 -471.766391
191 1046 -473.334272
192 943 -473.573013
193 3949 -474.978311
194 1938 -475.714735
195 3677 -477.664901
196 3739 -478.264238
197 1161 -478.410099
198 306 -479.466391
199 2682 -479.582616
200 3416 -479.944868
201 2670 -481.908609
202 1280 -481.972517
203 909 -482.756457
204 899 -483.629470
205 1940 -484.439901
206 1099 -484.462086
207 2847 -485.547185
208 1104 -486.818874
209 1253 -487.510265
210 978 -490.179470
211 2183 -491.071358
212 3746 -491.168212
213 1759 -492.520695
214 1250 -493.172351
215 910 -493.691722
216 3728 -494.746358
217 1207 -495.166722
218 3135 -496.069040
219 2677 -496.275331
220 1204 -497.828808
221 213 -497.850993
222 932 -498.763742
223 3350 -501.044371
224 1177 -501.328311
225 3929 -502.802815
226 1925 -503.579305
227 1931 -507.041556
228 1944 -507.617881
229 1023 -508.084272
230 1365 -508.791225
231 1264 -510.420364
232 2610 -514.220033
233 3507 -514.500000
234 121 -517.711424
235 2501 -518.070861
236 1293 -518.489735
237 298 -520.171026
238 904 -520.803477
239 1209 -523.551159
240 2732 -524.776159
241 128 -525.756126
242 3606 -526.500993
243 3870 -527.550662
244 1238 -528.080132
245 1963 -528.281291
246 307 -529.905132
247 2745 -530.067550
