# Method: Median
# Rank ItemID Score
1 2905 -8.000000
2 2019 -21.000000
3 318 -22.000000
4 668 -29.000000
5 3030 -33.000000
6 1148 -35.000000
7 904 -40.000000
8 50 -44.000000
9 922 -44.000000
10 745 -45.000000
11 3338 -46.000000
12 1207 -58.500000
13 1178 -59.000000
14 1250 -60.000000
15 720 -60.000000
16 3435 -60.000000
17 3022 -61.000000
18 1262 -63.000000
19 527 -64.000000
20 3470 -72.000000
21 3091 -75.000000
22 3469 -77.000000
23 3307 -79.000000
24 1212 -80.000000
25 913 -81.000000
26 1236 -81.000000
27 953 -85.000000
28 1204 -85.000000
29 2357 -88.000000
30 1193 -89.000000
31 2203 -89.000000
32 1234 -92.000000
33 905 -93.000000
34 2324 -93.000000
35 1147 -94.000000
36 3089 -94.000000
37 912 -96.000000
38 910 -97.000000
39 898 -98.000000
40 1223 -98.500000
41 3801 -99.000000
42 2186 -99.000000
43 670 -100.000000
44 908 -102.000000
45 1203 -104.000000
46 1272 -106.000000
47 858 -107.000000
48 750 -109.000000
49 1254 -110.000000
50 1284 -111.000000
51 2925 -111.000000
52 899 -112.000000
53 2329 -112.000000
54 930 -112.000000
55 1111 -115.000000
56 1224 -118.000000
57 2351 -119.000000
58 649 -121.000000
59 1172 -121.000000
60 903 -123.000000
61 2731 -123.500000
62 1131 -124.000000
63 2360 -126.000000
64 3429 -127.000000
65 1299 -128.000000
66 1949 -128.000000
67 928 -130.000000
68 916 -130.000000
69 1269 -133.000000
70 1260 -134.000000
71 1217 -134.000000
72 3849 -134.000000
73 1278 -138.000000
74 3134 -138.000000
75 678 -139.000000
76 923 -142.000000
77 556 -143.000000
78 2762 -143.000000
79 1132 -144.000000
80 3090 -144.000000
81 2330 -144.000000
82 2937 -145.000000
83 2503 -145.000000
84 911 -147.000000
85 919 -149.000000
86 3077 -149.000000
87 2920 -151.000000
88 326 -152.000000
89 3196 -152.000000
90 2208 -156.000000
91 954 -157.000000
92 1283 -157.000000
93 2804 -159.000000
94 950 -160.000000
95 2066 -161.000000
96 3634 -162.000000
97 1233 -163.000000
98 759 -164.000000
99 1900 -167.000000
100 1927 -168.000000
101 1358 -169.000000
102 926 -169.000000
103 906 -170.000000
104 669 -172.000000
105 1267 -173.000000
106 593 -174.000000
107 1423 -174.000000
108 1225 -176.000000
109 3038 -176.000000
110 942 -177.000000
111 3222 -178.000000
112 3468 -179.000000
113 3035 -179.500000
114 456 -180.000000
115 969 -182.000000
116 951 -182.000000
117 3075 -183.000000
118 1945 -185.000000
119 1252 -185.000000
120 1221 -186.000000
121 1242 -188.000000
122 1276 -189.000000
123 1226 -193.000000
124 1218 -193.000000
125 955 -195.000000
126 1198 -195.000000
127 1136 -195.000000
128 1361 -196.000000
129 1197 -197.000000
130 945 -198.000000
131 3897 -198.000000
132 936 -198.000000
133 3365 -201.000000
134 1950 -202.000000
135 3789 -203.000000
136 1293 -207.000000
137 1939 -208.000000
138 3265 -208.000000
139 2788 -210.500000
140 246 -213.000000
141 1208 -214.500000
142 933 -217.000000
143 2624 -219.000000
144 2609 -219.000000
145 2859 -219.000000
146 1304 -220.000000
147 1104 -220.000000
148 1253 -220.500000
149 1537 -222.000000
150 1189 -223.000000
151 1797 -223.000000
152 541 -223.000000
153 2501 -223.000000
154 28 -229.000000
155 2612 -229.000000
156 2206 -231.000000
157 3462 -231.000000
158 1704 -231.000000
159 1935 -233.000000
160 965 -234.000000
161 1303 -234.000000
162 116 -235.000000
163 1066 -235.000000
164 1449 -236.000000
165 2848 -236.000000
166 3347 -238.000000
167 2726 -239.000000
168 2935 -241.000000
169 1247 -243.000000
170 1300 -245.000000
171 3679 -246.000000
172 214 -249.000000
173 3114 -250.000000
174 2940 -252.000000
175 3088 -254.000000
176 1231 -255.000000
177 2936 -255.000000
