# Method: PostNDCG
# Rank ItemID Score
1 2905 2451.119828
2 318 1784.741748
3 2019 1710.483868
4 668 1493.391473
5 3030 1474.472304
6 1148 1373.287304
7 50 1280.666088
8 922 1277.985426
9 3338 1223.140797
10 904 1221.312505
11 3022 1218.574731
12 745 1191.043780
13 527 1162.443772
14 1207 1158.043971
15 1178 1152.684392
16 3435 1144.391437
17 720 1142.401050
18 2324 1130.345083
19 953 1129.411043
20 3307 1082.430047
21 3469 1074.118887
22 1212 1067.737070
23 3091 1066.959573
24 3470 1061.462555
25 1250 1059.820543
26 1262 1052.700102
27 1236 1048.529034
28 2203 1029.589035
29 1204 1019.786632
30 2329 1002.600626
31 3134 995.524752
32 2357 994.565598
33 913 992.408365
34 1147 989.829474
35 910 989.340519
36 912 988.892307
37 898 973.371161
38 3089 971.578834
39 1223 970.018968
40 858 966.838443
41 670 965.731150
42 905 962.695593
43 750 960.514432
44 2925 960.353484
45 923 959.536131
46 1111 958.566006
47 1172 954.184950
48 1217 952.068257
49 899 950.899060
50 1203 949.250516
51 3801 943.323291
52 2731 941.142189
53 1234 940.326858
54 1193 925.492195
55 2351 924.585788
56 2762 924.500041
57 2186 920.682937
58 1284 920.627607
59 2360 920.325260
60 1272 918.030389
61 649 917.666679
62 1131 913.056530
63 1260 904.974234
64 3429 904.386839
65 916 902.540521
66 3849 898.893983
67 2330 895.286410
68 1224 893.285671
69 930 893.197694
70 1949 892.725680
71 1254 890.047738
72 678 887.170340
73 3077 880.231117
74 1132 876.242045
75 3090 875.001019
76 2503 873.243538
77 2937 872.935917
78 2804 871.436320
79 326 870.943160
80 2920 869.431468
81 928 869.373530
82 556 868.535147
83 919 867.568018
84 2066 866.381512
85 908 866.316605
86 1900 863.305062
87 1361 862.697905
88 1299 861.030103
89 1927 859.008092
90 903 858.837484
91 759 858.834276
92 1423 856.107354
93 2208 853.761401
94 911 852.523331
95 2501 852.192071
96 926 847.572048
97 1269 847.485847
98 1283 844.100553
99 1218 843.799826
100 954 843.561156
101 1226 840.517927
102 3634 838.517285
103 950 836.339553
104 669 836.246780
105 3196 833.882590
106 2624 829.633635
107 3222 829.320103
108 906 827.918624
109 1278 826.125894
110 1136 825.974615
111 3038 825.128569
112 456 824.625755
113 1945 822.557525
114 3075 818.723079
115 951 817.488451
116 3949 816.192295
117 3035 813.710546
118 942 812.338871
119 593 811.082004
120 3365 808.748001
121 1208 807.249663
122 955 806.748238
