# Method: RRF
# Rank ItemID Score
1 2905 83.300317
2 2019 66.001616
3 668 64.995509
4 3030 61.509916
5 1148 57.740625
6 3338 56.933255
7 318 56.090359
8 922 55.564122
9 745 54.935397
10 904 54.933967
11 3022 51.258471
12 1178 51.085566
13 50 51.070802
14 720 50.478021
15 3435 49.950263
16 1207 49.199542
17 1250 48.341649
18 1262 48.327957
19 3470 47.882545
20 3091 47.079428
21 3307 46.161956
22 3469 46.156524
23 1236 45.720243
24 527 45.461416
25 1212 44.982325
26 953 44.602551
27 2203 43.424913
28 2324 43.379322
29 2357 43.264756
30 1204 43.206583
31 913 43.167368
32 1147 42.303205
33 3089 41.666373
34 905 41.613622
35 910 41.217003
36 1234 40.923778
37 898 40.923275
38 912 40.724903
39 1223 40.637564
40 1193 40.567961
41 670 40.516448
42 2329 40.216456
43 3801 40.168496
44 2186 39.352130
45 1203 39.326212
46 858 39.218678
47 750 39.080778
48 2925 39.041165
49 1272 39.026445
50 1111 38.766676
51 899 38.563618
52 1284 38.291691
53 908 37.901556
54 1172 37.899511
55 2731 37.432386
56 1254 37.085056
57 2351 36.995519
58 930 36.952673
59 3134 36.919322
60 649 36.705162
61 1217 36.623328
62 2762 36.570050
63 1224 36.497653
64 1131 36.342981
65 923 36.159756
66 916 36.086284
67 2360 36.031533
68 3429 35.716633
69 1260 35.422908
70 1949 35.386725
71 903 35.301123
72 1299 35.082029
73 3849 34.796079
74 928 34.400580
75 678 34.392788
76 919 34.292110
77 2330 34.041677
78 1269 33.815179
79 2804 33.753804
80 1278 33.549739
81 3090 33.255990
82 1132 33.240918
83 593 33.055986
84 2937 32.885329
85 3077 32.875217
86 556 32.763711
87 2503 32.499325
88 911 32.370429
89 326 32.300305
90 2920 32.150765
91 1283 31.506007
92 954 31.504213
93 2066 31.459877
94 1927 31.381590
95 1198 31.347460
96 2208 31.337657
97 3196 31.225581
98 926 31.018078
99 1900 30.998133
100 759 30.987997
101 1136 30.920560
102 1221 30.715718
103 950 30.612974
104 1233 30.499623
105 1423 30.196723
106 260 30.090195
107 3634 30.070210
108 1252 30.053116
109 969 29.957981
110 1197 29.900450
111 1267 29.898747
112 1358 29.584695
113 1361 29.510869
114 1945 29.419921
115 1225 29.380171
116 1218 29.235558
117 3035 29.153630
118 1226 29.139241
119 906 29.137263
120 2501 28.990944
121 2028 28.946638
122 951 28.883536
123 1208 28.874713
124 669 28.765363
125 1242 28.687726
126 3468 28.518291
127 942 28.263541
128 3222 28.218158
129 3114 28.162510
130 3038 28.142615
131 456 28.126511
132 955 27.907077
133 1276 27.855977
134 541 27.477316
135 3075 27.404483
136 246 27.270076
137 2624 27.112125
138 1704 27.079559
139 3365 26.994071
140 2571 26.883549
141 1104 26.808952
142 3265 26.757927
